Age,DistanceFromHome,JobInvolvement,JobLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NoRecentPromotion,StagnationScore,SatisfactionIndex,external_avg_salary,external_job_demand,salary_gap,OverTime_Yes,MaritalStatus_Single,MaritalStatus_Married,IncomeCategory_Medium,IncomeCategory_High,TenureCategory_3-5 years,TenureCategory_6-10 years,TenureCategory_10+ years,Attrition
50,1,2,3,2,2,3,1,18171,2,1,7,9,1,16,2.33,69047.72894688007,12784,50876.72894688007,0,1,0,0,1,0,0,0,0
47,5,1,2,5,2,2,2,9042,4,17,10,9,1,19,3.0,69047.72894688007,12784,60005.72894688007,0,0,1,1,0,0,0,1,0
35,46,1,4,4,3,3,1,16290,4,8,13,5,1,18,3.33,69047.72894688007,12784,52757.72894688007,0,0,0,0,1,0,1,0,1
58,31,2,1,2,1,1,4,12149,3,28,2,1,0,3,1.33,102997.714045,2542,90848.714045,0,1,0,1,0,0,0,1,0
49,27,1,1,5,4,2,3,14144,2,5,2,7,1,9,3.67,69047.72894688007,12784,54903.72894688007,0,0,1,0,1,1,0,0,0
57,16,1,5,1,2,3,4,16650,4,12,6,2,0,8,2.0,102997.714045,2542,86347.714045,0,0,1,0,1,0,0,1,1
53,49,2,3,4,1,3,4,15084,4,1,11,6,1,17,2.67,102997.714045,2542,87913.714045,0,1,0,0,1,0,0,0,0
37,15,2,4,4,2,1,3,14449,4,28,5,7,1,12,2.33,69047.72894688007,12784,54598.72894688007,1,0,1,0,1,0,0,1,0
20,8,1,1,4,4,1,2,10676,3,12,8,4,1,12,3.0,102997.714045,2542,92321.714045,0,1,0,1,0,0,0,1,0
31,7,3,2,4,4,4,2,5915,3,7,7,1,0,8,4.0,17372.83423076923,33,11457.83423076923,0,0,0,0,0,0,1,0,0
32,5,2,5,4,3,4,2,14587,3,16,3,8,1,11,3.67,69047.72894688007,12784,54460.72894688007,1,1,0,0,1,0,0,1,0
40,40,2,3,4,2,4,3,8632,3,3,4,8,1,12,3.33,69047.72894688007,12784,60415.72894688007,1,0,0,1,0,1,0,0,1
23,39,2,2,2,4,4,4,16366,1,26,12,3,1,15,3.33,69047.72894688007,12784,52681.72894688007,1,1,0,0,1,0,0,1,0
29,10,3,1,2,4,4,2,3291,0,7,5,1,0,6,3.33,89817.88593023256,119,86526.88593023256,0,0,0,0,0,0,1,0,0
41,34,4,2,1,4,3,4,18364,4,22,8,6,1,14,2.67,69047.72894688007,12784,50683.72894688007,0,0,1,0,1,0,0,1,0
30,22,4,3,3,3,2,4,10211,2,22,1,3,1,4,2.67,102997.714045,2542,92786.714045,1,0,0,1,0,0,0,1,1
29,9,2,3,5,3,3,4,9233,3,13,7,1,0,8,3.67,69047.72894688007,12784,59814.72894688007,0,0,1,1,0,0,0,1,0
29,30,3,1,2,2,1,1,7172,3,8,13,7,1,20,1.67,69047.72894688007,12784,61875.72894688007,1,0,0,0,0,0,1,0,0
35,28,3,3,5,3,4,1,13443,3,18,3,6,1,9,4.0,69047.72894688007,12784,55604.72894688007,1,1,0,1,0,0,0,1,0
20,5,1,3,2,3,1,1,6595,4,26,9,9,1,18,2.0,102997.714045,2542,96402.714045,0,0,0,0,0,0,0,1,0
49,45,3,4,2,3,1,2,15339,4,10,10,6,1,16,2.0,69047.72894688007,12784,53708.72894688007,0,0,0,0,1,0,1,0,0
47,11,4,4,3,3,3,4,5908,4,1,5,5,1,10,3.0,102997.714045,2542,97089.714045,0,0,0,0,0,0,0,0,0
26,49,4,1,4,3,1,2,14108,3,28,12,0,0,12,2.67,69047.72894688007,12784,54939.72894688007,0,0,0,0,1,0,0,1,1
37,11,1,2,2,1,1,1,4777,5,1,0,0,0,0,1.33,69047.72894688007,12784,64270.72894688007,0,0,1,0,0,0,0,0,1
54,19,3,2,1,4,2,3,5485,9,5,3,1,0,4,2.33,69047.72894688007,12784,63562.72894688007,1,0,0,0,0,1,0,0,0
57,31,4,1,1,3,2,4,18342,1,16,7,7,1,14,2.0,69047.72894688007,12784,50705.72894688007,0,0,0,0,1,0,0,1,1
59,6,2,1,5,2,4,4,9441,1,12,4,1,0,5,3.67,69047.72894688007,12784,59606.72894688007,0,1,0,1,0,0,0,1,0
56,16,4,5,4,4,1,4,5831,4,7,3,9,1,12,3.0,69047.72894688007,12784,63216.72894688007,0,0,1,0,0,0,1,0,0
31,17,1,2,4,4,3,1,3589,4,23,9,0,0,9,3.67,69047.72894688007,12784,65458.72894688007,0,0,1,0,0,0,0,1,0
27,15,1,2,4,1,3,3,4876,1,16,4,2,0,6,2.67,69047.72894688007,12784,64171.72894688007,1,0,1,0,0,0,0,1,0
36,48,3,2,5,4,1,2,13029,2,9,3,7,1,10,3.33,69047.72894688007,12784,56018.72894688007,1,0,1,1,0,0,1,0,0
53,34,3,1,2,4,2,2,16976,3,25,11,7,1,18,2.67,69047.72894688007,12784,52071.72894688007,0,0,1,0,1,0,0,1,0
57,37,1,4,4,2,3,1,12837,1,17,9,9,1,18,3.0,102997.714045,2542,90160.714045,0,1,0,1,0,0,0,1,1
32,20,3,4,2,1,3,4,13280,2,28,3,8,1,11,2.0,69047.72894688007,12784,55767.72894688007,1,0,1,1,0,0,0,1,0
46,24,3,5,4,2,4,1,3248,3,18,6,8,1,14,3.33,69047.72894688007,12784,65799.72894688007,1,0,1,0,0,0,0,1,0
58,40,3,1,1,1,3,3,17280,4,5,2,9,1,11,1.67,69047.72894688007,12784,51767.72894688007,1,0,1,0,1,1,0,0,0
24,4,4,5,2,1,1,1,11484,3,19,5,3,1,8,1.33,69047.72894688007,12784,57563.72894688007,1,1,0,1,0,0,0,1,1
45,1,3,1,4,4,4,3,2270,3,5,3,0,0,3,4.0,17372.83423076923,33,15102.83423076923,0,0,0,0,0,1,0,0,0
54,21,2,3,4,1,3,3,19215,2,3,6,1,0,7,2.67,69047.72894688007,12784,49832.72894688007,0,1,0,0,1,1,0,0,0
25,24,2,1,4,2,3,3,7571,3,20,3,3,1,6,3.0,69047.72894688007,12784,61476.72894688007,1,1,0,0,0,0,0,1,0
57,37,1,4,4,1,2,4,6439,3,6,3,0,0,3,2.33,69047.72894688007,12784,62608.72894688007,0,1,0,0,0,0,1,0,0
45,1,2,3,3,3,4,2,10748,3,23,15,14,1,29,3.33,69047.72894688007,12784,58299.72894688007,0,0,1,1,0,0,0,1,0
56,48,1,5,1,3,1,3,18503,1,8,1,8,1,9,1.67,102997.714045,2542,84494.714045,1,0,1,0,1,0,1,0,0
55,36,3,1,1,3,4,2,3290,4,22,3,2,0,5,2.67,69047.72894688007,12784,65757.72894688007,1,1,0,0,0,0,0,1,0
53,30,2,4,2,2,1,3,10931,2,26,1,0,0,1,1.67,69047.72894688007,12784,58116.72894688007,0,0,1,1,0,0,0,1,0
33,2,3,2,4,4,3,3,5505,1,6,2,0,0,2,3.67,91683.75438596492,139,86178.75438596492,0,0,0,0,0,0,1,0,0
51,21,2,5,4,4,1,1,10196,1,26,1,1,0,2,3.0,69047.72894688007,12784,58851.72894688007,0,1,0,1,0,0,0,1,1
59,48,4,4,1,3,1,1,19836,4,18,14,6,1,20,1.67,69047.72894688007,12784,49211.72894688007,1,0,1,0,1,0,0,1,0
27,9,3,1,2,4,4,2,2279,1,7,7,0,0,7,3.33,89817.88593023256,119,87538.88593023256,0,1,0,0,0,0,1,0,0
34,5,2,2,4,2,3,4,3986,1,15,10,4,1,14,3.0,17372.83423076923,33,13386.83423076923,0,0,1,0,0,0,0,1,0
31,19,2,1,3,1,4,3,11478,3,27,3,5,1,8,2.67,69047.72894688007,12784,57569.72894688007,1,0,1,1,0,0,0,1,0
30,1,3,4,3,4,3,4,6844,2,27,14,0,0,14,3.33,102997.714045,2542,96153.714045,1,1,0,0,0,0,0,1,0
26,29,4,3,3,1,2,4,11745,4,17,7,9,1,16,2.0,69047.72894688007,12784,57302.72894688007,0,1,0,1,0,0,0,1,1
28,31,2,3,1,3,3,1,10846,2,20,12,0,0,12,2.33,102997.714045,2542,92151.714045,0,0,1,1,0,0,0,1,0
35,47,4,5,3,1,1,3,11594,1,15,9,0,0,9,1.67,69047.72894688007,12784,57453.72894688007,0,0,0,1,0,0,0,1,0
27,16,3,1,2,3,2,3,2811,9,2,2,2,0,4,2.33,17372.83423076923,33,14561.83423076923,0,0,1,0,0,0,0,0,0
58,46,2,4,3,3,1,2,3355,4,16,13,7,1,20,2.33,69047.72894688007,12784,65692.72894688007,0,0,1,0,0,0,0,1,1
55,16,4,5,4,3,2,4,16399,1,16,10,7,1,17,3.0,69047.72894688007,12784,52648.72894688007,0,1,0,0,1,0,0,1,0
58,31,4,1,1,2,1,4,12205,3,21,14,2,0,16,1.33,69047.72894688007,12784,56842.72894688007,1,0,1,1,0,0,0,1,1
37,14,3,1,1,4,3,2,3034,1,18,7,12,1,19,2.67,17372.83423076923,33,14338.83423076923,0,0,0,0,0,0,0,1,0
30,18,1,1,1,3,4,1,8609,4,19,2,2,0,4,2.67,69047.72894688007,12784,60438.72894688007,0,1,0,1,0,0,0,1,0
42,26,4,3,4,2,1,1,11157,1,18,10,2,0,12,2.33,69047.72894688007,12784,57890.72894688007,0,1,0,1,0,0,0,1,0
31,11,3,2,1,3,4,2,6833,1,6,5,0,0,5,2.67,69047.72894688007,12784,62214.72894688007,1,0,1,0,0,0,1,0,0
43,17,3,3,4,1,4,1,11985,4,14,14,3,1,17,3.0,69047.72894688007,12784,57062.72894688007,0,0,1,1,0,0,0,1,0
51,16,1,1,1,2,3,2,16753,4,10,4,8,1,12,2.0,102997.714045,2542,86244.714045,1,0,1,0,1,0,1,0,0
31,10,4,1,3,2,2,4,14116,3,25,14,4,1,18,2.33,69047.72894688007,12784,54931.72894688007,0,0,1,0,1,0,0,1,1
50,9,3,5,3,3,3,3,19331,4,1,0,0,0,0,3.0,102997.714045,2542,83666.714045,1,0,1,0,1,0,0,0,0
48,3,3,4,4,4,1,2,6914,3,11,12,1,0,13,3.0,69047.72894688007,12784,62133.72894688007,1,0,0,0,0,0,0,1,1
47,32,1,4,4,4,2,3,16816,2,8,6,1,0,7,3.33,69047.72894688007,12784,52231.72894688007,1,0,1,0,1,0,1,0,0
35,26,3,1,2,4,4,3,3395,2,26,3,4,1,7,3.33,69047.72894688007,12784,65652.72894688007,0,1,0,0,0,0,0,1,0
41,2,4,2,2,2,4,4,15650,3,11,10,3,1,13,2.67,102997.714045,2542,87347.714045,0,0,0,0,1,0,0,1,0
58,15,4,4,1,2,1,3,12901,2,22,9,1,0,10,1.33,69047.72894688007,12784,56146.72894688007,1,0,0,1,0,0,0,1,1
47,24,2,2,3,3,3,2,3994,2,11,1,2,0,3,3.0,69047.72894688007,12784,65053.72894688007,1,0,1,0,0,0,0,1,1
29,5,2,5,4,1,2,1,12179,4,11,14,2,0,16,2.33,102997.714045,2542,90818.714045,0,1,0,1,0,0,0,1,0
53,36,3,1,4,4,3,1,5966,1,7,11,6,1,17,3.67,102997.714045,2542,97031.714045,1,0,0,0,0,0,1,0,0
34,45,4,3,2,2,2,4,11399,2,19,7,3,1,10,2.0,102997.714045,2542,91598.714045,1,0,1,1,0,0,0,1,0
39,24,3,5,3,3,3,3,15075,3,27,5,4,1,9,3.0,69047.72894688007,12784,53972.72894688007,1,1,0,0,1,0,0,1,0
38,23,2,2,3,4,1,3,5161,1,8,13,3,1,16,2.67,69047.72894688007,12784,63886.72894688007,0,1,0,0,0,0,1,0,0
38,20,4,1,4,3,2,2,6749,3,10,11,0,0,11,3.0,69047.72894688007,12784,62298.72894688007,0,0,0,0,0,0,1,0,0
45,13,1,2,1,3,2,4,19362,1,23,13,6,1,19,2.0,69047.72894688007,12784,49685.72894688007,1,0,0,0,1,0,0,1,0
55,16,2,3,5,2,1,1,18801,1,24,7,1,0,8,2.67,69047.72894688007,12784,50246.72894688007,1,1,0,0,1,0,0,1,0
54,8,3,3,5,4,2,4,5064,4,10,14,0,0,14,3.67,69047.72894688007,12784,63983.72894688007,0,0,0,0,0,0,1,0,0
31,7,2,1,4,4,1,1,19566,1,4,3,0,0,3,3.0,69047.72894688007,12784,49481.72894688007,1,1,0,0,1,1,0,0,0
53,25,3,4,5,2,2,4,15511,3,10,10,6,1,16,3.0,69047.72894688007,12784,53536.72894688007,1,0,0,0,1,0,1,0,0
28,40,1,2,1,2,4,4,10062,2,6,14,9,1,23,2.33,69047.72894688007,12784,58985.72894688007,1,1,0,1,0,0,1,0,0
28,6,1,2,4,1,4,3,14628,1,26,9,0,0,9,3.0,102997.714045,2542,88369.714045,1,0,1,0,1,0,0,1,0
24,5,1,4,5,1,2,1,18677,2,16,7,2,0,9,2.67,102997.714045,2542,84320.714045,1,1,0,0,1,0,0,1,0
42,25,2,1,2,4,2,4,16875,2,8,10,7,1,17,2.67,69047.72894688007,12784,52172.72894688007,0,0,0,0,1,0,1,0,1
43,5,1,3,5,1,1,3,10252,1,27,14,5,1,19,2.33,102997.714045,2542,92745.714045,0,1,0,1,0,0,0,1,0
41,36,3,4,4,3,4,2,11475,3,13,7,8,1,15,3.67,69047.72894688007,12784,57572.72894688007,1,0,0,1,0,0,0,1,0
40,44,2,3,4,3,2,4,12501,2,11,4,8,1,12,3.0,69047.72894688007,12784,56546.72894688007,0,1,0,1,0,0,0,1,0
46,28,2,2,3,1,4,2,7063,2,18,3,1,0,4,2.67,69047.72894688007,12784,61984.72894688007,0,1,0,0,0,0,0,1,0
37,42,1,2,5,3,1,4,15170,2,24,13,2,0,15,3.0,69047.72894688007,12784,53877.72894688007,1,1,0,0,1,0,0,1,1
20,31,4,2,3,4,1,4,5274,3,12,11,0,0,11,2.67,69047.72894688007,12784,63773.72894688007,0,0,0,0,0,0,0,1,0
27,23,3,2,3,3,2,2,13976,2,5,11,5,1,16,2.67,69047.72894688007,12784,55071.72894688007,1,0,1,0,1,1,0,0,0
34,11,2,5,5,2,3,3,14234,2,22,11,2,0,13,3.33,69047.72894688007,12784,54813.72894688007,1,1,0,0,1,0,0,1,0
44,3,1,2,5,2,4,3,10287,1,4,12,4,1,16,3.67,102997.714045,2542,92710.714045,1,0,1,1,0,1,0,0,0
50,8,3,2,2,1,4,1,6930,2,10,5,9,1,14,2.33,69047.72894688007,12784,62117.72894688007,1,1,0,0,0,0,1,0,0
47,27,2,1,3,3,3,4,8479,3,12,14,7,1,21,3.0,69047.72894688007,12784,60568.72894688007,1,0,1,1,0,0,0,1,0
53,7,4,4,3,3,3,3,14814,3,5,1,1,0,2,3.0,69047.72894688007,12784,54233.72894688007,0,0,1,0,1,1,0,0,0
29,44,1,5,2,1,1,2,12077,3,11,5,3,1,8,1.33,69047.72894688007,12784,56970.72894688007,1,1,0,1,0,0,0,1,0
31,1,4,4,2,3,4,2,18870,3,22,6,1,0,7,3.0,69047.72894688007,12784,50177.72894688007,0,0,1,0,1,0,0,1,0
49,42,4,1,2,1,2,2,17973,1,2,7,4,1,11,1.67,69047.72894688007,12784,51074.72894688007,1,0,1,0,1,0,0,0,0
42,45,1,4,4,2,3,1,10178,4,4,11,0,0,11,3.0,69047.72894688007,12784,58869.72894688007,0,0,0,1,0,1,0,0,0
55,8,3,2,4,1,1,2,11916,2,24,9,0,0,9,2.0,69047.72894688007,12784,57131.72894688007,0,0,0,1,0,0,0,1,0
29,24,2,1,4,4,2,2,2439,1,1,0,1,0,1,3.33,89817.88593023256,119,87378.88593023256,1,1,0,0,0,0,0,0,1
22,16,4,1,4,4,2,2,2935,1,1,0,0,0,0,3.33,17372.83423076923,33,14437.83423076923,1,0,0,0,0,0,0,0,0
37,15,3,1,3,2,1,4,19987,1,12,3,8,1,11,2.0,69047.72894688007,12784,49060.72894688007,0,0,0,0,1,0,0,1,0
42,18,3,4,1,1,2,4,4698,3,18,3,0,0,3,1.33,102997.714045,2542,98299.714045,1,0,1,0,0,0,0,1,0
47,20,4,1,5,4,1,3,17027,4,2,8,1,0,9,3.33,69047.72894688007,12784,52020.72894688007,0,0,0,0,1,0,0,0,0
53,18,1,3,3,3,2,2,9147,3,16,9,1,0,10,2.67,69047.72894688007,12784,59900.72894688007,1,1,0,1,0,0,0,1,0
28,1,2,2,4,3,3,3,6834,1,7,7,0,0,7,3.33,91683.75438596492,139,84849.75438596492,1,0,1,0,0,0,1,0,0
46,13,3,4,2,3,2,2,12685,3,7,5,0,0,5,2.33,69047.72894688007,12784,56362.72894688007,1,1,0,1,0,0,1,0,1
46,46,4,4,1,4,1,2,10592,4,27,2,7,1,9,2.0,69047.72894688007,12784,58455.72894688007,0,0,0,1,0,0,0,1,0
56,10,3,3,4,1,1,3,11527,2,3,12,7,1,19,2.0,102997.714045,2542,91470.714045,0,0,1,1,0,1,0,0,1
41,9,2,1,4,2,4,2,8081,1,29,4,5,1,9,3.33,69047.72894688007,12784,60966.72894688007,1,0,1,1,0,0,0,1,0
37,1,3,2,2,2,2,2,6447,6,6,5,4,1,9,2.0,69047.72894688007,12784,62600.72894688007,0,0,1,0,0,0,1,0,0
23,39,4,3,4,2,1,1,10140,2,20,10,2,0,12,2.33,102997.714045,2542,92857.714045,0,0,1,1,0,0,0,1,0
40,17,2,2,3,1,4,4,5291,4,24,14,1,0,15,2.67,69047.72894688007,12784,63756.72894688007,0,0,1,0,0,0,0,1,0
32,1,3,2,2,2,2,3,6220,1,10,4,0,0,4,2.0,89817.88593023256,119,83597.88593023256,0,0,1,0,0,0,1,0,0
43,22,3,3,2,4,2,4,9174,3,3,6,2,0,8,2.67,69047.72894688007,12784,59873.72894688007,0,0,0,1,0,1,0,0,1
40,29,2,3,1,2,2,2,10713,4,13,5,3,1,8,1.67,69047.72894688007,12784,58334.72894688007,1,1,0,1,0,0,0,1,0
47,37,4,5,2,2,2,2,17299,2,22,10,5,1,15,2.0,69047.72894688007,12784,51748.72894688007,0,1,0,0,1,0,0,1,0
53,47,2,5,4,2,3,1,5139,3,17,7,6,1,13,3.0,102997.714045,2542,97858.714045,0,1,0,0,0,0,0,1,1
38,32,2,2,2,4,3,2,3045,3,29,11,4,1,15,3.0,102997.714045,2542,99952.714045,0,0,1,0,0,0,0,1,0
37,1,2,1,1,3,1,2,3920,2,3,1,0,0,1,1.67,89817.88593023256,119,85897.88593023256,0,0,1,0,0,1,0,0,0
39,34,1,4,2,1,1,1,18680,2,16,12,7,1,19,1.33,69047.72894688007,12784,50367.72894688007,1,0,1,0,1,0,0,1,0
41,3,1,1,3,4,3,3,6758,3,20,10,4,1,14,3.33,69047.72894688007,12784,62289.72894688007,1,1,0,0,0,0,0,1,0
37,47,3,2,5,2,1,2,8000,4,25,5,1,0,6,2.67,102997.714045,2542,94997.714045,1,1,0,1,0,0,0,1,0
49,33,1,2,3,1,4,1,15402,4,1,12,6,1,18,2.67,69047.72894688007,12784,53645.72894688007,1,0,0,0,1,0,0,0,0
56,16,4,2,3,1,2,1,17892,4,18,6,3,1,9,2.0,69047.72894688007,12784,51155.72894688007,1,1,0,0,1,0,0,1,0
33,36,2,1,1,4,1,4,15502,4,4,11,2,0,13,2.0,69047.72894688007,12784,53545.72894688007,1,0,1,0,1,1,0,0,1
30,24,1,3,2,3,1,1,16138,3,15,2,6,1,8,2.0,69047.72894688007,12784,52909.72894688007,1,0,0,0,1,0,0,1,0
23,36,1,4,1,2,1,4,8249,2,24,6,0,0,6,1.33,102997.714045,2542,94748.714045,1,0,1,1,0,0,0,1,1
40,11,3,5,5,1,2,4,18423,4,27,7,0,0,7,2.67,69047.72894688007,12784,50624.72894688007,1,1,0,0,1,0,0,1,1
45,46,3,2,1,2,3,4,9215,3,23,13,2,0,15,2.0,69047.72894688007,12784,59832.72894688007,1,1,0,1,0,0,0,1,0
21,33,1,3,5,3,3,3,14019,3,21,3,9,1,12,3.67,69047.72894688007,12784,55028.72894688007,1,0,1,0,1,0,0,1,0
24,6,1,4,1,1,4,3,18993,4,15,1,7,1,8,2.0,69047.72894688007,12784,50054.72894688007,1,0,0,0,1,0,0,1,0
51,2,1,2,3,3,3,4,9319,3,29,3,6,1,9,3.0,69047.72894688007,12784,59728.72894688007,0,0,1,1,0,0,0,1,1
47,37,1,1,2,3,3,3,8609,2,16,9,8,1,17,2.67,69047.72894688007,12784,60438.72894688007,1,1,0,1,0,0,0,1,0
51,1,2,4,5,3,3,1,4774,2,3,12,5,1,17,3.67,69047.72894688007,12784,64273.72894688007,1,0,1,0,0,1,0,0,0
26,1,2,4,5,2,4,2,3895,3,7,7,1,0,8,3.67,69047.72894688007,12784,65152.72894688007,0,1,0,0,0,0,1,0,0
25,46,2,2,4,3,4,2,9896,2,5,5,1,0,6,3.67,69047.72894688007,12784,59151.72894688007,0,0,0,1,0,1,0,0,0
21,44,4,4,1,3,2,3,3170,4,2,5,9,1,14,2.0,69047.72894688007,12784,65877.72894688007,0,0,1,0,0,0,0,0,1
25,12,1,3,5,2,1,3,5343,1,19,11,0,0,11,2.67,102997.714045,2542,97654.714045,0,0,0,0,0,0,0,1,0
46,44,1,5,4,4,1,1,18410,4,3,13,6,1,19,3.0,69047.72894688007,12784,50637.72894688007,0,1,0,0,1,1,0,0,0
50,21,1,1,2,3,4,3,10628,4,23,3,3,1,6,3.0,69047.72894688007,12784,58419.72894688007,1,0,0,1,0,0,0,1,0
33,35,1,3,5,2,4,2,8563,1,13,11,0,0,11,3.67,69047.72894688007,12784,60484.72894688007,0,0,0,1,0,0,0,1,0
56,38,4,3,1,2,4,1,16749,2,13,1,6,1,7,2.33,69047.72894688007,12784,52298.72894688007,0,0,0,0,1,0,0,1,1
30,16,3,1,5,4,2,2,6260,3,5,1,7,1,8,3.67,69047.72894688007,12784,62787.72894688007,1,0,1,0,0,1,0,0,0
57,28,3,4,3,4,3,1,13039,4,19,14,9,1,23,3.33,69047.72894688007,12784,56008.72894688007,0,1,0,1,0,0,0,1,1
53,37,3,4,5,3,4,2,14443,3,28,3,7,1,10,4.0,102997.714045,2542,88554.714045,1,0,1,0,1,0,0,1,0
51,33,3,3,3,1,3,2,7010,2,9,4,1,0,5,2.33,102997.714045,2542,95987.714045,0,1,0,0,0,0,1,0,0
21,5,4,1,5,2,4,3,6622,3,7,3,7,1,10,3.67,69047.72894688007,12784,62425.72894688007,0,1,0,0,0,0,1,0,0
20,7,2,5,3,3,4,2,18132,2,14,7,3,1,10,3.33,69047.72894688007,12784,50915.72894688007,1,0,1,0,1,0,0,1,0
53,8,1,1,5,3,4,4,13200,4,7,9,9,1,18,4.0,69047.72894688007,12784,55847.72894688007,0,0,0,1,0,0,1,0,0
50,43,1,4,1,1,2,1,8226,4,25,10,0,0,10,1.33,69047.72894688007,12784,60821.72894688007,0,0,1,1,0,0,0,1,0
46,25,4,5,5,2,1,1,11330,4,9,4,8,1,12,2.67,102997.714045,2542,91667.714045,0,1,0,1,0,0,1,0,0
28,29,2,1,2,2,1,1,4133,1,2,10,7,1,17,1.67,69047.72894688007,12784,64914.72894688007,0,1,0,0,0,0,0,0,0
25,4,4,3,2,4,2,4,8036,2,18,8,1,0,9,2.67,69047.72894688007,12784,61011.72894688007,1,0,0,1,0,0,0,1,0
40,17,3,1,3,3,3,2,6382,2,24,9,3,1,12,3.0,102997.714045,2542,96615.714045,1,0,0,0,0,0,0,1,1
33,42,3,3,5,2,3,3,6793,2,5,12,8,1,20,3.33,69047.72894688007,12784,62254.72894688007,0,0,1,0,0,1,0,0,1
56,38,1,2,5,1,1,4,14428,4,5,8,1,0,9,2.33,69047.72894688007,12784,54619.72894688007,1,0,1,0,1,1,0,0,0
25,29,1,2,3,3,3,4,4590,3,8,8,7,1,15,3.0,102997.714045,2542,98407.714045,1,1,0,0,0,0,1,0,0
54,39,1,4,4,4,3,3,7433,3,20,3,2,0,5,3.67,69047.72894688007,12784,61614.72894688007,1,0,1,0,0,0,0,1,0
42,37,4,4,2,3,2,1,8913,1,15,8,1,0,9,2.33,102997.714045,2542,94084.714045,0,0,1,1,0,0,0,1,0
50,21,2,1,2,3,1,1,11025,2,22,5,4,1,9,2.0,69047.72894688007,12784,58022.72894688007,1,0,1,1,0,0,0,1,1
44,11,3,2,5,1,4,1,3016,3,9,4,8,1,12,3.33,102997.714045,2542,99981.714045,1,0,1,0,0,0,1,0,0
38,48,4,5,2,3,2,1,4077,2,4,11,7,1,18,2.33,69047.72894688007,12784,64970.72894688007,0,0,1,0,0,1,0,0,1
