EmployeeIndex,ActualAttrition,AttritionRisk,PredictedClass,RiskTier
698,0,0.6788,1,High
231,1,0.6781,1,High
1003,0,0.6764,1,High
259,0,0.6748,1,High
83,0,0.6746,1,High
281,1,0.6736,1,High
871,1,0.6726,1,High
120,0,0.6725,1,High
848,0,0.6712,1,High
1,1,0.6703,1,High
330,1,0.669,1,High
96,0,0.6645,1,High
936,0,0.6621,1,High
719,0,0.6609,1,High
442,0,0.6603,1,High
1124,0,0.66,1,High
117,1,0.6599,1,High
757,0,0.6596,1,High
1123,0,0.6589,1,High
1099,1,0.6582,1,High
961,0,0.6565,1,High
251,0,0.6555,1,High
107,1,0.6552,1,High
664,1,0.6547,1,High
279,0,0.654,1,High
1053,0,0.6534,1,High
721,0,0.6528,1,High
324,1,0.6496,1,High
995,0,0.6493,1,High
368,0,0.6484,1,High
879,0,0.6465,1,High
197,0,0.6451,1,High
1061,0,0.6448,1,High
522,0,0.6444,1,High
802,0,0.6437,1,High
610,1,0.6431,1,High
1127,0,0.6414,1,High
29,1,0.641,1,High
764,0,0.6402,1,High
826,0,0.6402,1,High
690,0,0.6399,1,High
507,0,0.6399,1,High
376,0,0.6395,1,High
750,0,0.6369,1,High
623,1,0.6361,1,High
754,0,0.636,1,High
941,0,0.6359,1,High
812,1,0.6341,1,High
377,0,0.6332,1,High
443,0,0.6323,1,High
61,0,0.6306,1,High
215,0,0.6304,1,High
703,1,0.6302,1,High
857,0,0.6295,1,High
168,0,0.6292,1,High
993,0,0.6284,1,High
704,0,0.6281,1,High
248,1,0.6278,1,High
13,1,0.6274,1,High
221,0,0.6262,1,High
886,0,0.6259,1,High
467,0,0.625,1,High
1006,0,0.625,1,High
885,0,0.6245,1,High
669,0,0.6243,1,High
523,0,0.6205,1,High
124,0,0.6198,1,High
684,0,0.6186,1,High
748,1,0.6174,1,High
766,0,0.6168,1,High
285,0,0.6168,1,High
737,0,0.6167,1,High
1067,0,0.6163,1,High
634,0,0.6158,1,High
166,0,0.6155,1,High
914,0,0.6147,1,High
362,0,0.6141,1,High
858,0,0.6136,1,High
275,0,0.6132,1,High
803,1,0.613,1,High
455,0,0.6129,1,High
78,0,0.6129,1,High
893,0,0.6127,1,High
910,0,0.6091,1,High
255,0,0.6083,1,High
167,0,0.6062,1,High
134,1,0.6059,1,High
75,0,0.6033,1,High
284,0,0.6029,1,High
539,1,0.6026,1,High
272,1,0.6016,1,High
895,0,0.6012,1,High
458,0,0.6004,1,High
742,0,0.6,1,Medium
874,0,0.5996,1,Medium
404,0,0.5981,1,Medium
1068,1,0.5981,1,Medium
223,0,0.5971,1,Medium
1028,0,0.5965,1,Medium
468,0,0.5963,1,Medium
451,0,0.5951,1,Medium
125,0,0.5938,1,Medium
723,0,0.5935,1,Medium
164,0,0.5934,1,Medium
194,0,0.5922,1,Medium
909,0,0.5911,1,Medium
912,0,0.5905,1,Medium
464,1,0.5891,1,Medium
495,0,0.5881,1,Medium
792,1,0.5864,1,Medium
37,1,0.585,1,Medium
192,0,0.5829,1,Medium
183,1,0.5816,1,Medium
151,0,0.5816,1,Medium
297,0,0.5814,1,Medium
834,0,0.5813,1,Medium
722,0,0.5806,1,Medium
426,1,0.5806,1,Medium
631,0,0.5805,1,Medium
98,1,0.5804,1,Medium
1023,0,0.5802,1,Medium
1011,0,0.5768,1,Medium
149,0,0.5766,1,Medium
145,1,0.5745,1,Medium
290,1,0.5731,1,Medium
309,0,0.5714,1,Medium
68,0,0.5713,1,Medium
851,0,0.5712,1,Medium
305,1,0.5699,1,Medium
62,0,0.5697,1,Medium
533,0,0.5674,1,Medium
836,0,0.5667,1,Medium
904,0,0.5665,1,Medium
933,0,0.566,1,Medium
693,0,0.565,1,Medium
799,0,0.5646,1,Medium
53,0,0.5637,1,Medium
1082,0,0.5635,1,Medium
1063,0,0.561,1,Medium
307,0,0.5608,1,Medium
119,0,0.5606,1,Medium
724,1,0.5597,1,Medium
1044,1,0.5592,1,Medium
312,0,0.559,1,Medium
42,0,0.5563,1,Medium
1112,0,0.5558,1,Medium
238,0,0.555,1,Medium
196,0,0.5548,1,Medium
828,0,0.5547,1,Medium
679,1,0.5542,1,Medium
1120,1,0.554,1,Medium
140,0,0.5535,1,Medium
657,1,0.5529,1,Medium
952,0,0.5519,1,Medium
551,0,0.5518,1,Medium
550,1,0.5515,1,Medium
59,0,0.5512,1,Medium
506,0,0.551,1,Medium
308,1,0.551,1,Medium
605,0,0.5494,1,Medium
33,0,0.5479,1,Medium
872,0,0.5475,1,Medium
216,0,0.5472,1,Medium
58,0,0.547,1,Medium
172,0,0.5459,1,Medium
729,0,0.5442,1,Medium
881,0,0.5418,1,Medium
497,0,0.5406,1,Medium
710,0,0.5404,1,Medium
979,0,0.5401,1,Medium
938,1,0.5399,1,Medium
189,0,0.5392,1,Medium
749,1,0.5386,1,Medium
873,0,0.5375,1,Medium
755,0,0.5372,1,Medium
730,0,0.5369,1,Medium
870,1,0.536,1,Medium
897,0,0.5345,1,Medium
822,0,0.5344,1,Medium
1140,0,0.5341,1,Medium
774,1,0.5326,1,Medium
225,0,0.5309,1,Medium
356,0,0.5298,1,Medium
1043,0,0.5286,1,Medium
300,0,0.5286,1,Medium
432,0,0.5276,1,Medium
249,0,0.5275,1,Medium
49,0,0.5265,1,Medium
510,0,0.5257,1,Medium
102,0,0.5245,1,Medium
268,0,0.5243,1,Medium
974,0,0.524,1,Medium
1074,1,0.5236,1,Medium
1025,0,0.5229,1,Medium
798,0,0.5209,1,Medium
650,0,0.5204,1,Medium
947,0,0.5185,1,Medium
674,0,0.5184,1,Medium
472,0,0.5174,1,Medium
937,0,0.5165,1,Medium
793,0,0.5153,1,Medium
310,1,0.5143,1,Medium
457,0,0.5138,1,Medium
454,1,0.5137,1,Medium
439,0,0.5131,1,Medium
95,0,0.5131,1,Medium
488,0,0.5122,1,Medium
402,0,0.5104,1,Medium
615,0,0.5094,1,Medium
214,1,0.5086,1,Medium
815,1,0.5081,1,Medium
957,0,0.5074,1,Medium
962,0,0.5063,1,Medium
847,1,0.5052,1,Medium
1116,0,0.5042,1,Medium
696,0,0.5041,1,Medium
32,0,0.504,1,Medium
256,0,0.5036,1,Medium
518,1,0.5035,1,Medium
630,0,0.5028,1,Medium
943,1,0.5021,1,Medium
683,0,0.5013,1,Medium
685,0,0.5005,1,Medium
985,1,0.5002,1,Medium
931,0,0.5,1,Medium
763,0,0.4992,1,Medium
79,0,0.4988,1,Medium
28,0,0.4974,1,Medium
417,0,0.4969,1,Medium
647,0,0.4967,1,Medium
484,0,0.4963,1,Medium
603,0,0.4958,1,Medium
765,0,0.4956,1,Medium
191,0,0.4944,1,Medium
147,0,0.4938,1,Medium
607,0,0.4919,1,Medium
991,0,0.4913,1,Medium
7,0,0.4911,1,Medium
718,0,0.491,1,Medium
162,1,0.4902,1,Medium
574,0,0.4902,1,Medium
489,1,0.49,1,Medium
1117,0,0.4896,1,Medium
271,0,0.4892,1,Medium
5,1,0.4872,1,Medium
892,0,0.4861,1,Medium
1076,0,0.4831,1,Medium
270,0,0.4828,1,Medium
673,0,0.4828,1,Medium
99,0,0.4825,1,Medium
193,0,0.4825,1,Medium
1001,0,0.4819,1,Medium
689,0,0.4805,1,Medium
940,0,0.4798,1,Medium
328,0,0.4795,1,Medium
276,0,0.4795,1,Medium
57,0,0.4794,1,Medium
424,1,0.4791,1,Medium
786,0,0.4787,1,Medium
939,0,0.4777,1,Medium
176,0,0.476,1,Medium
492,1,0.4756,1,Medium
333,0,0.4752,1,Medium
165,1,0.4745,1,Medium
1108,0,0.4724,1,Medium
1077,0,0.4722,1,Medium
253,0,0.4708,1,Medium
503,1,0.4703,1,Medium
480,0,0.4684,1,Medium
1081,0,0.468,1,Medium
477,0,0.4678,1,Medium
579,0,0.4663,1,Medium
1104,0,0.4656,1,Medium
258,1,0.4652,1,Medium
627,0,0.4651,1,Medium
1031,0,0.465,1,Medium
327,0,0.4647,1,Medium
1013,0,0.4645,1,Medium
1096,0,0.4645,1,Medium
91,0,0.4643,1,Medium
635,1,0.4642,1,Medium
720,0,0.4642,1,Medium
846,1,0.4633,1,Medium
227,0,0.4626,1,Medium
335,0,0.4625,1,Medium
983,0,0.4621,1,Medium
1078,0,0.4621,1,Medium
1118,0,0.462,1,Medium
528,0,0.4594,1,Medium
435,0,0.4594,1,Medium
956,1,0.4592,1,Medium
725,1,0.4591,1,Medium
975,0,0.4591,1,Medium
45,0,0.459,1,Medium
195,0,0.4577,1,Medium
512,0,0.457,1,Medium
205,0,0.4569,1,Medium
1114,0,0.4567,1,Medium
200,0,0.4567,1,Medium
1084,0,0.4553,1,Medium
1146,0,0.4553,1,Medium
1131,1,0.455,1,Medium
640,0,0.4542,1,Medium
1015,0,0.4542,1,Medium
841,0,0.4541,1,Medium
981,0,0.4539,1,Medium
835,1,0.4526,1,Medium
100,0,0.4526,1,Medium
653,1,0.4525,1,Medium
591,0,0.4515,1,Medium
602,0,0.4509,1,Medium
413,0,0.45,1,Medium
222,1,0.4499,1,Medium
360,0,0.4493,1,Medium
448,0,0.4468,1,Medium
1097,0,0.4464,1,Medium
461,0,0.4461,1,Medium
694,0,0.4452,1,Medium
491,0,0.4451,1,Medium
82,0,0.4435,1,Medium
361,0,0.4429,1,Medium
76,1,0.4427,1,Medium
1125,0,0.4418,1,Medium
989,0,0.4413,1,Medium
651,1,0.4402,1,Medium
54,0,0.439,1,Medium
1143,0,0.4387,1,Medium
758,0,0.4386,1,Medium
665,0,0.438,1,Medium
543,0,0.4375,1,Medium
264,0,0.4364,1,Medium
1052,0,0.4363,1,Medium
587,0,0.4358,1,Medium
927,1,0.4354,1,Medium
645,0,0.4348,1,Medium
788,0,0.4346,1,Medium
776,1,0.4346,1,Medium
299,1,0.4335,1,Medium
39,0,0.433,1,Medium
1051,1,0.433,1,Medium
334,0,0.4327,1,Medium
43,0,0.4319,1,Medium
1075,0,0.4306,1,Medium
1107,0,0.4305,1,Medium
769,0,0.4304,1,Medium
706,0,0.4304,1,Medium
681,0,0.4294,1,Medium
558,0,0.4281,1,Medium
935,1,0.4259,1,Medium
1058,1,0.4258,1,Medium
93,0,0.4248,1,Medium
804,0,0.4228,1,Medium
676,1,0.4226,1,Medium
1095,0,0.4209,1,Medium
547,0,0.4193,1,Medium
953,0,0.4193,1,Medium
209,0,0.4192,1,Medium
485,1,0.4191,1,Medium
386,1,0.4187,1,Medium
323,0,0.4186,1,Medium
767,0,0.4185,1,Medium
364,0,0.4181,1,Medium
562,1,0.4174,1,Medium
644,0,0.4173,1,Medium
487,0,0.4169,1,Medium
421,0,0.4168,1,Medium
520,1,0.4165,1,Medium
984,0,0.4162,1,Medium
286,0,0.4154,1,Medium
1103,0,0.4149,1,Medium
355,0,0.4144,1,Medium
844,0,0.4141,1,Medium
25,1,0.414,1,Medium
106,0,0.413,1,Medium
760,0,0.412,1,Medium
313,0,0.4116,1,Medium
813,0,0.4116,1,Medium
132,0,0.4112,1,Medium
51,0,0.4108,1,Medium
514,1,0.4106,1,Medium
47,0,0.4106,1,Medium
153,0,0.4093,1,Medium
569,0,0.4087,1,Medium
340,0,0.4087,1,Medium
977,0,0.4079,1,Medium
469,0,0.4075,1,Medium
88,0,0.406,1,Medium
609,0,0.4054,1,Medium
552,0,0.4046,1,Medium
790,0,0.4042,1,Medium
1079,1,0.4041,1,Medium
972,1,0.4036,1,Medium
950,0,0.4036,1,Medium
542,0,0.4024,1,Medium
932,0,0.4024,1,Medium
239,1,0.4022,1,Medium
373,0,0.4019,1,Medium
411,0,0.4013,1,Medium
759,0,0.4012,1,Medium
199,0,0.4005,1,Medium
427,1,0.3985,0,Medium
86,0,0.3983,0,Medium
840,0,0.3979,0,Medium
1038,0,0.3973,0,Medium
137,0,0.3973,0,Medium
0,0,0.3957,0,Medium
1041,1,0.3956,0,Medium
1020,1,0.3956,0,Medium
565,0,0.3951,0,Medium
761,0,0.3947,0,Medium
863,0,0.3935,0,Medium
203,0,0.3933,0,Medium
597,0,0.3932,0,Medium
976,0,0.3912,0,Medium
403,0,0.391,0,Medium
347,1,0.3909,0,Medium
121,0,0.3905,0,Medium
237,0,0.3903,0,Medium
508,0,0.39,0,Medium
825,0,0.3895,0,Medium
778,0,0.3892,0,Medium
425,0,0.3888,0,Medium
156,0,0.3877,0,Medium
277,0,0.3876,0,Medium
524,1,0.3873,0,Medium
564,0,0.3863,0,Medium
756,0,0.3841,0,Medium
254,0,0.3826,0,Medium
1139,0,0.3822,0,Medium
1021,1,0.3817,0,Medium
414,1,0.3815,0,Medium
970,0,0.3812,0,Medium
498,0,0.3809,0,Medium
1137,0,0.3809,0,Medium
81,0,0.3808,0,Medium
942,0,0.3808,0,Medium
70,0,0.3803,0,Medium
785,0,0.3798,0,Medium
1126,0,0.3795,0,Medium
744,1,0.3793,0,Medium
901,0,0.3792,0,Medium
1065,0,0.378,0,Medium
923,0,0.3779,0,Medium
548,0,0.3779,0,Medium
2,0,0.3778,0,Medium
445,0,0.3778,0,Medium
613,0,0.3773,0,Medium
244,0,0.3771,0,Medium
572,1,0.3764,0,Medium
924,0,0.376,0,Medium
641,0,0.376,0,Medium
19,0,0.3759,0,Medium
997,0,0.3755,0,Medium
423,0,0.3754,0,Medium
777,0,0.3748,0,Medium
326,0,0.3746,0,Medium
346,0,0.374,0,Medium
44,0,0.3738,0,Medium
351,1,0.3738,0,Medium
782,0,0.3736,0,Medium
1049,1,0.3722,0,Medium
465,0,0.3717,0,Medium
1002,1,0.3711,0,Medium
113,0,0.3711,0,Medium
709,0,0.3711,0,Medium
339,0,0.3681,0,Medium
686,1,0.3677,0,Medium
504,0,0.3667,0,Medium
700,0,0.3663,0,Medium
6,0,0.3663,0,Medium
139,0,0.3662,0,Medium
736,0,0.3658,0,Medium
864,1,0.3656,0,Medium
210,0,0.3646,0,Medium
10,0,0.3645,0,Medium
331,0,0.3643,0,Medium
945,0,0.3643,0,Medium
1101,0,0.3627,0,Medium
501,1,0.3605,0,Medium
513,0,0.3604,0,Medium
740,0,0.3603,0,Medium
283,0,0.3599,0,Medium
982,0,0.3592,0,Medium
833,1,0.3577,0,Medium
987,0,0.3572,0,Medium
928,0,0.3555,0,Medium
247,0,0.3549,0,Medium
415,0,0.3546,0,Medium
1040,0,0.3545,0,Medium
181,0,0.3543,0,Medium
434,1,0.3541,0,Medium
399,0,0.3539,0,Medium
447,0,0.3536,0,Medium
662,0,0.3524,0,Medium
16,0,0.3518,0,Medium
341,0,0.3512,0,Medium
52,1,0.3507,0,Medium
560,0,0.3507,0,Medium
250,0,0.3507,0,Medium
1093,0,0.3503,0,Medium
202,0,0.3493,0,Medium
187,0,0.3493,0,Medium
810,0,0.3493,0,Medium
880,0,0.3491,0,Medium
56,1,0.3484,0,Medium
378,0,0.3484,0,Medium
633,0,0.3468,0,Medium
554,0,0.3464,0,Medium
701,0,0.3464,0,Medium
876,0,0.3461,0,Medium
563,0,0.3457,0,Medium
72,0,0.3454,0,Medium
556,0,0.3452,0,Medium
717,0,0.3445,0,Medium
629,0,0.3442,0,Medium
329,0,0.3439,0,Medium
292,0,0.3435,0,Medium
452,0,0.3431,0,Medium
1064,0,0.3423,0,Medium
913,0,0.3419,0,Medium
805,0,0.3417,0,Medium
155,0,0.3417,0,Medium
173,0,0.34,0,Medium
405,0,0.3399,0,Medium
396,0,0.3398,0,Medium
412,0,0.3398,0,Medium
741,0,0.3394,0,Medium
705,0,0.3394,0,Medium
905,0,0.3393,0,Medium
747,0,0.3391,0,Medium
136,1,0.3388,0,Medium
621,0,0.3388,0,Medium
1055,0,0.3384,0,Medium
48,0,0.3378,0,Medium
716,1,0.337,0,Medium
668,0,0.3355,0,Medium
11,0,0.3352,0,Medium
538,1,0.3343,0,Medium
537,1,0.3338,0,Medium
104,0,0.3335,0,Medium
9,0,0.3331,0,Medium
391,0,0.3327,0,Medium
332,0,0.3312,0,Medium
206,0,0.3307,0,Medium
1113,0,0.3289,0,Medium
636,0,0.3274,0,Medium
1010,0,0.3272,0,Medium
319,0,0.3249,0,Medium
575,1,0.324,0,Medium
358,0,0.3233,0,Medium
392,1,0.3231,0,Medium
632,0,0.323,0,Medium
110,0,0.3214,0,Medium
382,0,0.3203,0,Medium
40,0,0.3189,0,Medium
159,0,0.3188,0,Medium
511,0,0.3183,0,Medium
398,0,0.318,0,Medium
389,0,0.3178,0,Medium
695,1,0.3167,0,Medium
838,0,0.3165,0,Medium
934,0,0.3163,0,Medium
349,0,0.3158,0,Medium
567,0,0.3152,0,Medium
571,0,0.3148,0,Medium
521,0,0.313,0,Medium
734,1,0.3129,0,Medium
948,0,0.3121,0,Medium
1029,0,0.3108,0,Medium
658,0,0.3097,0,Medium
343,0,0.3089,0,Medium
832,0,0.3081,0,Medium
661,0,0.3076,0,Medium
540,0,0.3073,0,Medium
878,1,0.3052,0,Medium
691,0,0.305,0,Medium
728,0,0.3045,0,Medium
419,0,0.3042,0,Medium
830,1,0.3042,0,Medium
21,1,0.3041,0,Medium
891,0,0.304,0,Medium
599,1,0.304,0,Medium
620,1,0.3033,0,Medium
594,0,0.303,0,Medium
154,1,0.3029,0,Medium
818,0,0.3027,0,Medium
135,0,0.3025,0,Medium
908,1,0.3024,0,Medium
791,0,0.3017,0,Medium
131,0,0.3016,0,Medium
114,1,0.3007,0,Medium
204,0,0.2999,0,Low
1014,0,0.2999,0,Low
960,0,0.2992,0,Low
680,0,0.2991,0,Low
926,0,0.2982,0,Low
224,0,0.2981,0,Low
739,0,0.2981,0,Low
1138,1,0.2978,0,Low
867,0,0.2977,0,Low
592,0,0.2964,0,Low
208,0,0.2963,0,Low
611,1,0.296,0,Low
967,0,0.2957,0,Low
218,0,0.2947,0,Low
395,1,0.2945,0,Low
583,0,0.2942,0,Low
586,0,0.2941,0,Low
158,0,0.2935,0,Low
1016,0,0.2934,0,Low
670,0,0.2927,0,Low
85,0,0.2927,0,Low
352,0,0.2922,0,Low
890,0,0.2888,0,Low
762,1,0.2887,0,Low
1057,0,0.2887,0,Low
186,0,0.288,0,Low
999,1,0.2868,0,Low
1026,0,0.2867,0,Low
964,0,0.2866,0,Low
699,1,0.2864,0,Low
578,0,0.2854,0,Low
601,1,0.285,0,Low
46,0,0.2849,0,Low
884,0,0.2847,0,Low
1060,0,0.2843,0,Low
783,0,0.2839,0,Low
1142,0,0.2838,0,Low
342,0,0.2832,0,Low
245,0,0.2831,0,Low
545,1,0.2831,0,Low
911,0,0.2831,0,Low
663,0,0.2831,0,Low
1136,0,0.283,0,Low
365,1,0.2823,0,Low
1072,0,0.2813,0,Low
862,0,0.2811,0,Low
315,0,0.281,0,Low
228,0,0.2795,0,Low
626,0,0.2795,0,Low
30,0,0.2789,0,Low
796,0,0.2778,0,Low
337,0,0.2769,0,Low
951,1,0.2769,0,Low
965,0,0.2761,0,Low
20,0,0.2757,0,Low
288,0,0.2754,0,Low
570,0,0.2751,0,Low
184,0,0.2748,0,Low
97,0,0.2748,0,Low
1012,1,0.2745,0,Low
687,0,0.2738,0,Low
1088,0,0.2731,0,Low
433,0,0.2729,0,Low
316,0,0.2727,0,Low
483,0,0.2723,0,Low
1135,0,0.272,0,Low
746,0,0.272,0,Low
265,0,0.2719,0,Low
350,1,0.2718,0,Low
252,0,0.2708,0,Low
344,0,0.2706,0,Low
889,0,0.267,0,Low
839,0,0.2666,0,Low
820,1,0.2659,0,Low
628,0,0.2656,0,Low
185,0,0.2652,0,Low
544,0,0.2648,0,Low
385,0,0.264,0,Low
854,0,0.2635,0,Low
577,0,0.2627,0,Low
795,0,0.2623,0,Low
431,1,0.2621,0,Low
1145,1,0.2618,0,Low
1066,1,0.2618,0,Low
453,0,0.2612,0,Low
643,0,0.2612,0,Low
1085,0,0.2612,0,Low
138,0,0.2609,0,Low
367,0,0.2608,0,Low
529,0,0.2605,0,Low
229,1,0.2604,0,Low
89,0,0.2604,0,Low
499,1,0.2601,0,Low
318,1,0.26,0,Low
493,1,0.2598,0,Low
823,0,0.2597,0,Low
541,0,0.2583,0,Low
369,0,0.2581,0,Low
667,0,0.2575,0,Low
959,1,0.2558,0,Low
436,0,0.2556,0,Low
726,0,0.2541,0,Low
646,0,0.2538,0,Low
856,0,0.2537,0,Low
715,0,0.2536,0,Low
678,0,0.253,0,Low
949,0,0.2516,0,Low
784,0,0.2514,0,Low
150,0,0.2514,0,Low
406,0,0.2514,0,Low
142,0,0.2511,0,Low
325,0,0.2508,0,Low
211,0,0.2506,0,Low
63,1,0.2499,0,Low
1048,0,0.2495,0,Low
14,1,0.2481,0,Low
243,0,0.2479,0,Low
36,0,0.2457,0,Low
230,0,0.2456,0,Low
617,0,0.2453,0,Low
263,0,0.2452,0,Low
321,0,0.245,0,Low
148,0,0.2449,0,Low
77,0,0.244,0,Low
963,0,0.2432,0,Low
55,0,0.2431,0,Low
536,0,0.2431,0,Low
707,1,0.2425,0,Low
773,0,0.2423,0,Low
584,0,0.2411,0,Low
1073,0,0.24,0,Low
479,0,0.2396,0,Low
1009,0,0.2395,0,Low
1133,0,0.239,0,Low
980,0,0.2389,0,Low
27,0,0.2388,0,Low
303,0,0.2388,0,Low
944,0,0.2387,0,Low
922,0,0.2383,0,Low
298,0,0.2377,0,Low
865,0,0.2374,0,Low
898,0,0.2372,0,Low
212,0,0.2364,0,Low
733,0,0.236,0,Low
849,0,0.2343,0,Low
519,1,0.2341,0,Low
198,0,0.2326,0,Low
821,0,0.2317,0,Low
797,0,0.2315,0,Low
546,0,0.2314,0,Low
855,0,0.2314,0,Low
161,0,0.2303,0,Low
619,0,0.2302,0,Low
240,0,0.23,0,Low
169,0,0.2298,0,Low
289,0,0.2296,0,Low
236,0,0.2295,0,Low
1134,0,0.2286,0,Low
814,0,0.2284,0,Low
770,0,0.2281,0,Low
481,0,0.2273,0,Low
1037,1,0.2265,0,Low
817,0,0.2262,0,Low
381,0,0.2256,0,Low
179,0,0.2252,0,Low
883,0,0.225,0,Low
407,1,0.2246,0,Low
217,0,0.2246,0,Low
697,0,0.2243,0,Low
1098,0,0.2241,0,Low
585,1,0.2237,0,Low
400,0,0.2232,0,Low
363,0,0.2214,0,Low
1047,0,0.2206,0,Low
731,0,0.2198,0,Low
163,0,0.2197,0,Low
4,0,0.218,0,Low
751,0,0.2173,0,Low
714,0,0.2169,0,Low
296,0,0.2168,0,Low
1069,0,0.2166,0,Low
576,0,0.2144,0,Low
649,0,0.2142,0,Low
642,0,0.2133,0,Low
401,0,0.2121,0,Low
1128,1,0.2119,0,Low
306,1,0.211,0,Low
1033,0,0.2102,0,Low
819,0,0.2102,0,Low
418,1,0.2101,0,Low
505,0,0.2088,0,Low
806,1,0.2085,0,Low
702,0,0.2079,0,Low
843,0,0.2078,0,Low
422,0,0.2069,0,Low
675,0,0.2063,0,Low
1083,1,0.2061,0,Low
390,0,0.2057,0,Low
555,0,0.2056,0,Low
94,0,0.2053,0,Low
370,1,0.2039,0,Low
973,1,0.2035,0,Low
996,0,0.2022,0,Low
260,0,0.2021,0,Low
123,0,0.2018,0,Low
1122,0,0.2018,0,Low
473,0,0.2013,0,Low
1070,0,0.201,0,Low
1129,0,0.2009,0,Low
470,0,0.2008,0,Low
1000,1,0.2005,0,Low
625,0,0.2,0,Low
866,0,0.1994,0,Low
672,0,0.1984,0,Low
800,0,0.1982,0,Low
990,1,0.1982,0,Low
388,0,0.1981,0,Low
988,0,0.1979,0,Low
688,0,0.1977,0,Low
1019,0,0.1972,0,Low
282,1,0.1969,0,Low
531,0,0.1961,0,Low
420,0,0.1933,0,Low
127,0,0.1931,0,Low
41,0,0.1922,0,Low
287,0,0.1911,0,Low
637,1,0.1908,0,Low
588,0,0.1906,0,Low
354,0,0.1905,0,Low
374,0,0.1896,0,Low
380,0,0.1891,0,Low
654,0,0.1891,0,Low
108,1,0.1882,0,Low
638,0,0.188,0,Low
71,1,0.1857,0,Low
807,0,0.1856,0,Low
409,0,0.1855,0,Low
397,0,0.1845,0,Low
775,0,0.1843,0,Low
1050,0,0.184,0,Low
1110,0,0.1834,0,Low
379,0,0.1829,0,Low
589,0,0.1823,0,Low
66,1,0.1813,0,Low
1017,1,0.1811,0,Low
31,0,0.179,0,Low
90,1,0.1789,0,Low
1115,0,0.1789,0,Low
1080,0,0.1787,0,Low
580,0,0.177,0,Low
133,0,0.1763,0,Low
8,0,0.1762,0,Low
207,0,0.1756,0,Low
573,1,0.1742,0,Low
1121,0,0.1737,0,Low
1094,0,0.1725,0,Low
614,0,0.1722,0,Low
437,0,0.1721,0,Low
438,0,0.1712,0,Low
444,0,0.1689,0,Low
918,1,0.1686,0,Low
126,1,0.1683,0,Low
992,0,0.1683,0,Low
112,0,0.1683,0,Low
853,0,0.168,0,Low
971,0,0.1679,0,Low
1046,0,0.166,0,Low
393,0,0.1655,0,Low
353,1,0.1653,0,Low
916,0,0.1653,0,Low
180,0,0.1641,0,Low
463,0,0.1639,0,Low
966,0,0.1635,0,Low
317,0,0.1626,0,Low
440,0,0.1624,0,Low
18,0,0.1623,0,Low
152,0,0.1615,0,Low
968,0,0.1612,0,Low
188,0,0.1606,0,Low
294,0,0.16,0,Low
801,0,0.1593,0,Low
624,0,0.1587,0,Low
160,0,0.1585,0,Low
74,1,0.1584,0,Low
954,0,0.1581,0,Low
