Age,Attrition,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
31,No,Research & Development,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,1,No,3,2,4,3,1,1,1
32,No,Research & Development,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,1,No,3,2,3,3,10,4,0
36,No,Research & Development,6,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,3,No,3,2,3,3,1,0,0
31,No,Research & Development,8,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,1,No,4,4,2,3,11,7,1
35,No,Sales,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,0,No,3,2,2,3,15,13,2
45,No,Research & Development,6,101,4,Male,52,3,3,Research Director,1,Married,13245,4,Yes,3,2,3,4,0,0,0
37,No,Research & Development,7,102,1,Male,30,3,3,Research Director,3,Single,13664,4,No,3,1,3,4,5,2,0
46,No,Human Resources,5,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,8,Yes,4,4,2,3,4,2,0
30,No,Research & Development,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,1,Yes,3,3,1,2,10,8,3
35,No,Research & Development,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,1,No,3,1,3,3,6,4,0
55,No,Sales,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,3,No,3,4,4,3,1,0,1
38,No,Research & Development,6,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,7,Yes,3,4,3,3,13,11,1
34,No,Research & Development,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,1,No,3,3,2,3,5,2,1
56,No,Research & Development,7,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,4,No,3,1,3,2,6,4,0
23,No,Sales,2,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,3,No,3,3,3,3,0,0,0
51,No,Research & Development,9,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,3,No,4,2,4,3,4,2,0
30,No,Research & Development,2,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,1,No,3,1,3,3,11,10,10
46,Yes,Sales,9,118,3,Male,64,2,3,Sales Executive,4,Single,9619,1,No,3,4,3,3,9,8,4
40,No,Research & Development,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,1,No,4,4,3,2,22,3,11
51,No,Sales,21,120,3,Male,71,3,2,Sales Executive,4,Single,5441,0,Yes,4,4,2,1,10,7,1
30,No,Sales,4,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,1,Yes,3,2,4,2,11,8,2
46,No,Research & Development,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,2,Yes,3,3,5,2,10,9,9
32,No,Sales,6,125,2,Male,87,3,2,Sales Executive,3,Single,5010,1,No,3,1,0,3,11,8,5
54,No,Research & Development,2,126,1,Female,60,3,3,Research Director,3,Married,13549,9,No,3,1,5,1,4,3,0
24,No,Sales,3,128,1,Female,33,3,2,Sales Executive,3,Married,4999,0,No,4,1,2,2,3,2,0
28,No,Sales,4,129,2,Male,43,3,2,Sales Executive,3,Married,4221,1,No,3,2,3,4,5,4,0
58,No,Sales,10,131,4,Male,37,3,4,Sales Executive,3,Single,13872,0,No,3,3,1,2,37,10,1
44,No,Research & Development,23,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,4,No,3,3,3,4,3,2,1
37,Yes,Human Resources,6,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,4,Yes,4,4,3,3,3,2,0
32,No,Research & Development,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956,1,No,3,4,2,3,1,0,0
20,Yes,Research & Development,6,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,1,Yes,3,2,5,3,1,0,1
34,No,Research & Development,6,138,1,Female,41,3,2,Research Scientist,3,Single,4809,1,No,3,3,3,3,16,13,2
37,No,Research & Development,2,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,5,No,3,4,2,4,1,0,0
59,No,Human Resources,2,140,3,Female,32,2,5,Manager,4,Married,18844,9,No,4,4,3,3,3,2,2
50,No,Research & Development,1,141,1,Female,73,3,5,Research Director,2,Married,18172,3,Yes,3,1,1,2,8,3,0
25,Yes,Sales,5,142,3,Male,46,2,2,Sales Executive,3,Single,5744,1,Yes,3,4,1,3,6,4,0
25,No,Research & Development,7,143,4,Male,64,2,1,Research Scientist,4,Married,2889,1,No,3,3,2,3,2,2,2
22,No,Research & Development,15,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,1,No,3,3,5,3,0,0,0
51,No,Research & Development,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484,3,No,4,3,1,2,13,12,12
34,Yes,Research & Development,7,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,1,Yes,4,4,3,3,9,7,0
54,No,Human Resources,26,148,4,Female,30,4,4,Manager,4,Single,17328,2,Yes,3,3,3,3,5,3,4
24,No,Research & Development,18,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,0,No,3,3,2,3,5,3,1
34,No,Research & Development,6,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505,6,No,3,3,3,3,1,0,0
37,No,Sales,3,152,3,Male,87,3,3,Sales Executive,4,Single,7428,2,No,3,1,3,3,5,3,1
34,No,Research & Development,5,153,3,Female,45,2,3,Manager,1,Single,11631,2,No,3,4,6,3,11,10,5
36,No,Sales,11,154,2,Female,92,3,3,Sales Executive,4,Married,9738,0,No,3,3,6,3,9,7,2
36,No,Research & Development,3,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,5,No,4,1,2,3,1,0,0
43,No,Sales,26,158,3,Male,92,3,4,Manager,4,Married,16959,1,Yes,3,4,3,4,25,12,4
30,No,Research & Development,23,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,1,No,4,3,2,2,10,7,0
33,No,Sales,22,160,3,Male,95,3,2,Sales Executive,2,Married,6146,0,No,3,1,2,4,7,7,0
56,Yes,Research & Development,14,161,2,Female,72,3,1,Research Scientist,2,Married,4963,9,Yes,3,1,2,3,5,4,4
51,No,Research & Development,6,162,1,Male,51,3,5,Research Director,3,Single,19537,7,No,3,3,5,3,20,18,15
31,Yes,Sales,6,163,2,Male,76,1,2,Sales Executive,3,Married,6172,4,Yes,3,2,3,2,7,7,7
26,No,Research & Development,6,164,3,Female,46,2,1,Research Scientist,2,Married,2368,1,No,3,3,3,2,5,4,4
58,Yes,Research & Development,23,165,4,Female,94,3,3,Healthcare Representative,4,Married,10312,1,No,3,4,3,2,40,10,15
19,Yes,Sales,22,167,4,Male,50,3,1,Sales Representative,3,Single,1675,1,Yes,3,4,2,2,0,0,0
22,No,Research & Development,2,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,0,No,3,3,2,3,2,1,2
49,No,Research & Development,20,170,3,Female,96,3,2,Manufacturing Director,1,Married,6567,1,No,3,3,2,2,15,11,5
43,No,Research & Development,28,171,2,Female,72,4,1,Research Scientist,3,Single,4739,4,No,3,4,2,3,3,2,1
50,No,Sales,12,174,3,Female,77,3,3,Sales Executive,4,Single,9208,4,No,3,4,3,3,2,2,2
31,Yes,Sales,20,175,2,Female,71,1,2,Sales Executive,3,Married,4559,3,Yes,3,3,2,3,2,2,2
41,No,Sales,9,176,3,Male,96,3,3,Sales Executive,3,Divorced,8189,3,Yes,3,3,2,3,9,7,0
26,No,Human Resources,25,177,3,Female,61,3,1,Human Resources,3,Married,2942,1,No,4,4,3,3,8,7,5
36,No,Research & Development,6,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,6,No,4,4,0,3,3,2,0
51,Yes,Research & Development,8,179,1,Male,53,1,3,Manufacturing Director,4,Single,10650,2,No,3,4,2,3,4,2,0
39,No,Sales,4,182,4,Female,47,2,2,Sales Executive,3,Married,5902,4,No,3,3,1,4,15,11,5
25,No,Sales,28,183,1,Male,41,2,2,Sales Executive,3,Married,8639,2,No,3,4,3,3,2,2,2
30,No,Human Resources,9,184,3,Male,48,3,2,Human Resources,4,Married,6347,0,Yes,3,4,2,1,11,9,4
32,Yes,Research & Development,9,190,1,Female,41,3,1,Laboratory Technician,1,Single,4200,7,No,4,1,2,4,5,4,0
45,No,Research & Development,29,192,3,Male,83,3,1,Research Scientist,4,Single,3452,5,No,3,2,2,2,6,5,0
38,No,Research & Development,3,193,4,Female,32,3,2,Research Scientist,3,Single,4317,3,Yes,4,2,2,3,3,2,2
30,No,Research & Development,18,194,1,Female,75,3,1,Research Scientist,3,Single,2632,1,No,3,3,4,2,5,4,0
32,No,Sales,9,195,4,Male,35,1,2,Sales Executive,4,Divorced,4668,0,No,3,4,2,4,8,7,0
30,No,Research & Development,5,197,4,Female,84,3,1,Research Scientist,1,Divorced,3204,5,No,3,4,3,3,3,2,2
30,No,Research & Development,2,198,2,Male,35,2,1,Laboratory Technician,4,Single,2720,0,No,3,4,3,3,5,3,1
41,No,Research & Development,10,199,4,Male,91,2,4,Manager,1,Divorced,17181,4,No,3,2,2,2,7,6,7
41,No,Research & Development,9,200,3,Male,94,3,1,Laboratory Technician,1,Married,2238,2,No,4,4,2,3,5,0,1
19,No,Research & Development,3,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,1,No,3,4,3,3,1,0,0
40,No,Research & Development,26,202,2,Female,54,3,2,Research Scientist,2,Divorced,5605,1,No,3,1,2,3,20,7,2
35,No,Sales,1,204,3,Male,94,3,3,Sales Executive,2,Married,7295,1,No,3,1,3,3,10,8,0
53,No,Sales,6,205,2,Male,34,3,2,Sales Representative,3,Married,2306,2,Yes,4,4,3,1,7,7,4
45,No,Research & Development,9,206,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,8,No,3,3,2,1,17,9,0
32,No,Sales,8,207,2,Female,43,3,3,Sales Executive,4,Single,8998,1,No,3,4,2,3,9,8,3
29,No,Research & Development,1,208,4,Male,41,3,2,Manufacturing Director,3,Married,4319,1,No,3,1,1,3,10,7,0
51,No,Research & Development,7,211,2,Male,34,2,2,Manufacturing Director,3,Married,6132,2,No,3,3,2,3,1,0,0
58,No,Research & Development,9,214,2,Female,75,2,1,Research Scientist,2,Married,3346,4,Yes,4,2,3,2,1,0,0
40,No,Sales,4,215,3,Male,67,2,3,Sales Executive,4,Married,10855,7,No,3,1,2,2,12,11,2
34,No,Sales,2,216,3,Female,75,3,1,Sales Representative,3,Married,2231,6,No,3,4,3,3,4,3,1
22,No,Research & Development,19,217,3,Male,80,3,1,Research Scientist,4,Married,2323,1,No,4,1,6,3,2,2,2
27,No,Research & Development,9,218,4,Male,57,3,1,Research Scientist,2,Divorced,2024,6,No,3,4,1,1,2,2,2
28,No,Research & Development,21,221,3,Male,42,3,1,Research Scientist,4,Married,2713,1,No,3,3,2,1,5,2,0
57,No,Research & Development,24,223,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,3,Yes,3,2,2,1,5,3,1
27,No,Research & Development,3,224,3,Male,79,2,1,Research Scientist,3,Divorced,2566,1,Yes,3,4,2,2,1,1,0
50,No,Research & Development,11,226,3,Female,53,3,5,Manager,2,Single,19926,3,No,3,2,5,3,5,4,4
41,No,Research & Development,14,227,1,Male,56,3,1,Research Scientist,3,Divorced,2451,4,No,3,1,2,3,9,8,1
30,No,Sales,5,228,2,Female,41,3,3,Sales Executive,4,Married,9419,2,No,3,3,2,3,10,9,7
38,No,Sales,1,230,1,Female,59,2,2,Sales Executive,4,Single,8686,4,No,4,3,2,4,8,3,0
32,No,Research & Development,6,231,3,Male,43,3,1,Research Scientist,3,Single,3038,3,No,4,1,2,3,5,4,1
27,No,Research & Development,17,233,3,Male,51,3,1,Research Scientist,2,Married,3058,0,Yes,3,4,3,2,5,2,1
19,Yes,Sales,1,235,3,Female,100,1,1,Sales Representative,1,Single,2325,0,No,4,1,5,4,0,0,0
36,No,Research & Development,3,238,4,Male,30,3,1,Laboratory Technician,2,Single,2088,4,No,3,3,3,2,8,7,7
30,No,Research & Development,9,239,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,1,No,3,3,4,3,12,9,6
45,No,Sales,4,240,3,Female,30,3,2,Sales Executive,1,Divorced,5006,4,Yes,3,1,3,4,5,4,0
56,No,Research & Development,8,241,3,Female,67,3,1,Research Scientist,1,Divorced,4257,4,Yes,3,3,3,3,2,2,2
33,No,Research & Development,2,242,3,Male,90,3,1,Research Scientist,4,Single,2500,0,No,3,1,2,4,3,1,0
19,Yes,Research & Development,2,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,1,No,4,3,3,2,1,0,1
46,No,Sales,1,244,2,Female,92,3,3,Sales Executive,1,Divorced,10453,1,No,4,3,2,3,24,13,15
38,No,Research & Development,9,245,3,Female,75,3,1,Laboratory Technician,4,Single,2288,1,No,3,3,3,3,2,2,2
31,No,Research & Development,12,246,3,Female,95,3,1,Research Scientist,4,Married,3929,8,Yes,4,3,0,3,4,2,0
34,No,Research & Development,27,247,4,Female,95,3,1,Research Scientist,2,Single,2311,2,No,3,4,3,3,3,2,1
41,Yes,Sales,20,248,2,Female,70,3,1,Sales Representative,2,Single,3140,1,Yes,4,4,5,2,4,3,0
50,No,Research & Development,1,249,3,Male,86,2,1,Laboratory Technician,3,Married,3690,2,No,3,4,2,2,3,2,0
53,No,Research & Development,13,250,4,Female,57,4,2,Manufacturing Director,1,Divorced,4450,1,No,3,3,3,3,4,2,1
33,No,Research & Development,14,252,4,Female,72,3,1,Research Scientist,2,Married,2756,1,No,3,4,5,3,8,7,1
40,No,Research & Development,4,253,4,Female,46,3,5,Manager,3,Married,19033,1,No,3,2,2,3,20,8,9
55,No,Research & Development,14,254,3,Male,61,4,5,Research Director,2,Single,18722,8,No,3,4,3,3,24,15,2
34,No,Research & Development,2,256,4,Male,45,2,2,Manufacturing Director,3,Married,9547,1,No,3,3,2,2,10,9,1
51,No,Research & Development,3,258,4,Female,98,3,4,Healthcare Representative,2,Single,13734,3,No,3,3,6,3,7,7,1
52,No,Research & Development,1,259,3,Male,65,2,5,Manager,3,Married,19999,0,No,3,1,5,3,33,18,11
27,No,Research & Development,9,260,4,Female,99,3,1,Research Scientist,2,Single,2279,1,No,3,4,2,2,7,7,0
35,Yes,Research & Development,23,261,2,Male,50,2,2,Manufacturing Director,3,Married,5916,3,Yes,3,1,1,3,1,0,0
43,No,Research & Development,7,262,4,Male,37,4,1,Research Scientist,4,Divorced,2089,4,No,3,4,3,4,5,4,2
45,No,Research & Development,2,264,1,Male,65,2,4,Manager,4,Married,16792,9,No,4,4,1,3,20,8,11
37,No,Research & Development,21,267,2,Male,65,4,1,Research Scientist,1,Married,3564,1,Yes,3,1,3,2,8,7,1
35,No,Research & Development,2,269,2,Female,37,3,2,Laboratory Technician,2,Single,4425,5,No,3,4,5,3,6,2,1
42,No,Research & Development,21,270,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,2,No,3,2,5,3,5,3,0
38,No,Research & Development,2,271,4,Male,88,3,2,Manufacturing Director,3,Married,6553,9,No,3,2,3,3,1,0,0
38,No,Research & Development,29,273,4,Male,54,3,2,Manufacturing Director,4,Married,6261,3,No,3,1,3,1,7,7,1
27,No,Research & Development,1,274,3,Male,60,2,2,Manufacturing Director,1,Married,4298,5,No,3,3,1,3,2,2,2
49,No,Research & Development,18,275,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,1,Yes,3,1,0,3,7,7,1
34,No,Research & Development,10,277,4,Male,43,3,1,Research Scientist,3,Divorced,3815,1,Yes,3,4,4,4,5,3,2
40,No,Research & Development,19,281,3,Male,99,3,2,Laboratory Technician,4,Married,2741,8,Yes,3,3,2,4,7,2,3
38,Yes,Research & Development,29,282,2,Male,70,3,2,Healthcare Representative,1,Married,6673,7,Yes,3,2,2,3,1,0,0
29,Yes,Sales,27,283,2,Female,35,3,3,Sales Executive,4,Married,7639,1,No,4,4,3,2,10,4,1
22,No,Research & Development,5,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,1,Yes,3,1,2,2,4,2,2
36,No,Research & Development,18,286,2,Female,73,3,1,Laboratory Technician,4,Single,2153,1,No,3,1,2,3,8,1,1
40,No,Research & Development,9,287,4,Male,63,2,2,Healthcare Representative,4,Married,4876,9,No,3,4,5,1,3,2,0
46,No,Research & Development,1,288,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,7,No,3,3,3,3,4,2,0
32,Yes,Sales,4,291,4,Male,32,1,3,Sales Executive,4,Married,10400,1,No,3,3,2,2,14,8,9
30,No,Research & Development,1,292,3,Male,88,2,3,Manufacturing Director,3,Single,8474,1,No,4,3,2,3,11,8,5
27,No,Sales,20,293,4,Female,90,3,2,Sales Executive,3,Single,9981,1,No,3,4,2,3,7,7,0
51,No,Research & Development,8,296,2,Male,81,2,3,Research Director,2,Married,12490,5,No,3,4,5,1,10,9,4
30,Yes,Research & Development,3,297,4,Female,88,3,1,Research Scientist,1,Single,2657,5,Yes,3,3,5,3,5,2,0
41,No,Sales,6,298,4,Female,75,3,3,Manager,4,Single,13591,3,Yes,3,3,3,3,1,0,0
30,Yes,Sales,26,299,3,Female,52,2,2,Sales Executive,1,Single,6696,5,No,3,3,5,2,6,3,0
29,Yes,Research & Development,1,300,3,Male,85,3,1,Research Scientist,3,Single,2058,0,No,3,4,1,2,6,2,1
45,No,Sales,6,302,4,Female,57,2,3,Sales Executive,4,Single,8865,6,No,3,4,2,3,19,7,12
54,No,Sales,3,303,4,Female,52,3,2,Sales Executive,1,Married,5940,2,No,3,4,4,3,6,2,0
36,No,Research & Development,5,304,4,Male,62,3,2,Laboratory Technician,2,Single,5914,8,No,3,4,3,4,13,11,3
33,No,Research & Development,4,305,3,Female,47,2,1,Research Scientist,2,Married,2622,6,No,4,4,3,3,3,2,1
37,No,Research & Development,11,306,2,Male,47,3,3,Research Director,4,Divorced,12185,1,Yes,3,3,1,3,10,8,0
38,No,Sales,3,307,1,Male,76,3,3,Sales Executive,3,Divorced,10609,0,No,3,3,6,2,16,10,5
31,No,Research & Development,1,308,3,Male,90,1,2,Manufacturing Director,3,Married,4345,0,No,3,4,2,3,5,4,1
59,No,Research & Development,3,309,3,Male,70,2,1,Research Scientist,4,Married,2177,3,No,3,1,6,3,1,0,0
37,No,Sales,4,311,1,Male,41,3,1,Sales Representative,4,Divorced,2793,4,No,3,3,2,3,9,8,5
29,No,Sales,1,312,2,Female,42,3,3,Sales Executive,4,Married,7918,1,No,3,4,5,3,11,10,4
35,No,Sales,1,314,3,Female,92,3,3,Sales Executive,3,Single,8789,1,No,3,1,3,4,10,7,0
