Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,external_avg_salary,external_job_demand,salary_gap,NoRecentPromotion,StagnationScore,SatisfactionIndex,Department_HR,Department_Human Resources,Department_IT,Department_Marketing,Department_Research & Development,Department_Sales,Gender_Male,JobRole_Assistant,JobRole_Executive,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,JobRoleMapped_Laboratory Technician,JobRoleMapped_Manager,JobRoleMapped_Other,JobRoleMapped_Research Scientist,JobRoleMapped_Sales Executive,IncomeCategory_Medium,IncomeCategory_High,TenureCategory_3-5 years,TenureCategory_6-10 years,TenureCategory_10+ years,AgeGroup_26-35,AgeGroup_36-45,AgeGroup_46-55,AgeGroup_55+
35,0,11,3,79,2,3,1,9884,2,3,3,3,3,4,0,2,69047.72894688007,12784,59163.72894688007,0,2,2.33,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
26,0,23,3,47,2,2,4,4157,7,3,3,2,2,2,2,0,91683.75438596492,139,87526.75438596492,0,2,3.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,0,1,1,98,3,3,4,13458,1,3,3,1,3,15,14,8,69047.72894688007,12784,55589.72894688007,1,22,2.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
35,0,18,2,71,3,3,1,9069,1,4,4,3,2,9,8,1,91683.75438596492,139,82614.75438596492,0,9,2.33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
35,0,23,3,30,3,1,1,4014,3,3,3,3,3,2,2,2,17372.83423076923,33,13358.83423076923,0,4,2.33,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,0,7,4,48,3,2,4,5915,3,4,4,3,2,7,7,1,17372.83423076923,33,11457.83423076923,0,8,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
37,0,1,1,51,2,2,3,5993,1,3,3,2,4,7,5,0,69047.72894688007,12784,63054.72894688007,0,5,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
32,0,1,1,33,3,2,4,6162,1,4,2,3,3,9,8,7,69047.72894688007,12784,62885.72894688007,1,15,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
38,0,29,4,50,3,2,4,2406,1,3,4,2,3,10,3,9,17372.83423076923,33,14966.83423076923,1,12,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
50,0,7,2,43,2,5,3,18740,5,3,4,2,2,27,3,13,69047.72894688007,12784,50307.72894688007,1,16,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
59,0,25,1,99,3,3,1,7637,7,3,4,3,2,21,16,7,91683.75438596492,139,84046.75438596492,1,23,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
36,0,8,3,59,3,3,3,10096,1,3,2,2,3,17,14,12,69047.72894688007,12784,58951.72894688007,1,26,2.67,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
55,0,8,4,33,3,4,3,14756,2,3,3,2,3,5,0,0,102997.714045,2542,88241.714045,0,0,3.33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
36,0,11,2,95,2,2,2,6499,1,3,3,3,3,6,5,0,69047.72894688007,12784,62548.72894688007,0,5,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
45,0,7,2,59,3,3,1,9724,2,3,3,2,3,1,0,0,89817.88593023256,119,80093.88593023256,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
35,0,1,2,79,3,1,1,2194,4,3,4,2,2,3,2,1,89817.88593023256,119,87623.88593023256,0,3,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
36,1,9,4,79,2,1,3,3388,0,3,1,0,2,1,0,0,89817.88593023256,119,86429.88593023256,0,0,2.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
59,0,1,1,57,2,2,3,5473,7,3,4,2,2,4,3,1,91683.75438596492,139,86210.75438596492,0,4,2.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
29,0,2,3,76,3,1,2,2703,0,4,4,3,3,5,4,0,89817.88593023256,119,87114.88593023256,0,4,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
31,0,1,3,87,3,1,2,2501,1,3,2,4,3,1,1,1,89817.88593023256,119,87316.88593023256,0,2,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32,0,1,2,66,3,2,2,6220,1,3,2,3,3,10,4,0,89817.88593023256,119,83597.88593023256,0,4,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
36,0,6,2,55,4,1,4,3038,3,3,2,3,3,1,0,0,17372.83423076923,33,14334.83423076923,0,0,2.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,0,8,3,61,3,2,4,4424,1,4,4,2,3,11,7,1,69047.72894688007,12784,64623.72894688007,0,8,3.67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
35,0,1,3,32,2,2,1,4312,0,3,2,2,3,15,13,2,91683.75438596492,139,87371.75438596492,0,15,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
45,0,6,4,52,3,3,1,13245,4,3,2,3,4,0,0,0,69047.72894688007,12784,55802.72894688007,0,0,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
37,0,7,1,30,3,3,3,13664,4,3,1,3,4,5,2,0,69047.72894688007,12784,55383.72894688007,0,2,1.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
46,0,5,2,80,3,2,2,5021,8,4,4,2,3,4,2,0,61845.10984536083,269,56824.10984536083,0,2,2.67,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,0,1,4,55,2,2,4,5126,1,3,3,1,2,10,8,3,17372.83423076923,33,12246.83423076923,1,11,3.67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
35,0,1,2,30,2,1,3,2859,1,3,1,3,3,6,4,0,89817.88593023256,119,86958.88593023256,0,4,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
55,0,1,1,70,3,3,4,10239,3,3,4,4,3,1,0,1,91683.75438596492,139,81444.75438596492,0,1,3.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
38,0,6,2,79,1,2,4,5329,7,3,4,3,3,13,11,1,89817.88593023256,119,84488.88593023256,0,12,3.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
34,0,1,1,94,3,2,2,4325,1,3,3,2,3,5,2,1,69047.72894688007,12784,64722.72894688007,0,3,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
56,0,7,4,49,1,3,4,7260,4,3,1,3,2,6,4,0,69047.72894688007,12784,61787.72894688007,0,4,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
23,0,2,3,62,3,1,1,2322,3,3,3,3,3,0,0,0,69047.72894688007,12784,66725.72894688007,0,0,2.33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,0,9,4,96,3,1,4,2075,3,4,2,4,3,4,2,0,17372.83423076923,33,15297.83423076923,0,2,3.33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
30,0,2,3,99,2,2,4,4152,1,3,1,3,3,11,10,10,69047.72894688007,12784,64895.72894688007,1,20,2.67,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
46,1,9,3,64,2,3,4,9619,1,3,4,3,3,9,8,4,91683.75438596492,139,82064.75438596492,1,12,3.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
40,0,1,3,78,2,4,2,13503,1,4,4,3,2,22,3,11,69047.72894688007,12784,55544.72894688007,1,14,3.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
51,0,21,3,71,3,2,4,5441,0,4,4,2,1,10,7,1,91683.75438596492,139,86242.75438596492,0,8,3.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
30,0,4,3,63,2,2,2,5209,1,3,2,4,2,11,8,2,91683.75438596492,139,86474.75438596492,0,10,2.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
46,0,1,3,40,2,3,1,10673,2,3,3,5,2,10,9,9,69047.72894688007,12784,58374.72894688007,1,18,2.33,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
32,0,6,2,87,3,2,3,5010,1,3,1,0,3,11,8,5,91683.75438596492,139,86673.75438596492,1,13,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
54,0,2,1,60,3,3,3,13549,9,3,1,5,1,4,3,0,69047.72894688007,12784,55498.72894688007,0,3,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
24,0,3,1,33,3,2,3,4999,0,4,1,2,2,3,2,0,91683.75438596492,139,86684.75438596492,0,2,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
